variavel	descricao
e40_adocado	e40_adocado  - A criança comeu alimento adoçado com açúcar, mel ou melado ontem
estrato_sel_anon	estrato_sel_anon - estrato
f001_esta_usando	f001_esta_usando - A criança ESTÁ USANDO algum tipo de vitamina ou mineral 
g001_usou	g001_usou - A criança usou nos últimos 6 meses algum tipo de vitamina ou mineral 
g150_vitaminas	g150_vitaminas - A criança recebeu, nos últimos 6 meses, no posto de saúde ou no dia da vacinação, uma dose de alguma dessas vitaminas?
grupo10	grupo 10 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, ácido fólico, vitamina B12, ferritina e Proteína C Reativa, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo11	grupo 11 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, ácido fólico, vitamina B12, ferritina e Proteína C Reativa, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta., exceto a hemoglobina, com intervalo entre coleta e recoleta de até 30 dias. 
grupo12	grupo 12 - Conjunto de crianças que possuem o parâmetro final hemograma
grupo13	grupo 13 - Conjunto de crianças que possuem o parâmetro final ácido fólico
grupo14	grupo 14 - Conjunto de crianças que possuem o parâmetro final ferritina
grupo15	grupo 15 - Conjunto de crianças que possuem o parâmetro final vitamina B12
grupo16	grupo 16 - Conjunto de crianças que possuem o parâmetro final vitamina D
grupo17	grupo 17 - Conjunto de crianças que possuem o parâmetro final vitamina A
grupo18	grupo 18 - Conjunto de crianças que possuem o parâmetro final vitamina B1
grupo19	grupo 19 - Conjunto de crianças que possuem o parâmetro final vitamina B6
grupo1a	grupo1a - Conjunto de crianças que possuem os parâmetros finais:  hemoglobina, ferritina e PCR, avaliados no mesmo momento, na coleta ou na recoleta
grupo1b	grupo1b - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, proteína C Reativa (PCR) e ferritina, sendo obrigatoriamente a ferritina e PCR avaliadas no mesmo momento, assim como a ferritina e hemoglobina
grupo1c	grupo 1c - Conjunto de crianças que possuem os parâmetros finais: proteína C Reativa (PCR) e ferritina, sendo obrigatoriamente a ferritina e PCR avaliadas no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo2	grupo 2 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina e vitamina A, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo20	grupo 20 - Conjunto de crianças que possuem o parâmetro final vitamina E
grupo21	grupo 21 - Conjunto de crianças que possuem o parâmetro final zinco
grupo22	grupo 22 - Conjunto de crianças que possuem o parâmetro final selênio
grupo3	grupo 3 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, vitamina A,  vitamina D e zinco, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo4	grupo 4 - Conjunto de crianças que possuem os parâmetros finais: proteína C Reativa (PCR) e zinco, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo5	grupo 5 - Conjunto de crianças que possuem os parâmetros finais proteína C Reativa (PCR) e vitamina A, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo6	grupo 6 - Conjunto de crianças que possuem os parâmetros finais proteína C Reativa (PCR) e selênio, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo7	grupo 7 - Conjunto de crianças que possuem os parâmetros finais ácido fólico e vitamina B12 sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo8	grupo 8 - Conjunto de crianças que possuem os parâmetros finais proteína C reativa (PCR), zinco, selênio, vitamina A e vitamina E sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta. 
grupo9a	grupo 9a - Conjunto de crianças que possuem os 12 parâmetros finais: hemograma, ácido fólico, ferritina, vitamina B12, vitamina D, vitamina A, B1, B6, E, zinco e selênio, sendo obrigatoriamente todos realizados no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo9b	grupo 9b - Conjunto de crianças que possuem os 12 parâmetros finais: hemograma, ácido fólico, ferritina, vitamina B12, vitamina D, vitamina A, B1, B6, E, zinco e selênio.
h01_semanas_gravidez	h01_semanas_gravidez - Com quantas semanas de gravidez a criança nasceu
h02_peso	h02_peso - Peso ao nascer (em gramas) da criança
h03_altura	h03_altura - Com quantos centímetros a criança nasceu
h04_parto	h04_parto - Tipo de parto da criança
h05_chupeta_usou	h05_chupeta_usou - Desde o nascimento da criança até hoje, ele(ela)
h10_consulta	h10_consulta - Onde costuma levar a criança para consulta médica com mais frequência
h13_diarreia	h13_diarreia  - A criança está ou esteve com diarreia nos últimos 15 dias
h14_tosse	h14_tosse - A criança está ou esteve com tosse nos últimos 15 dias
h15_respiracao	h15_respiracao - A criança está ou esteve com respiração difícil nos últimos 15 dias
h16_canseira	h16_canseira - A criança está ou esteve com canseira, falta de ar nos últimos 15 dias
h17_nariz	h17_nariz - A criança está ou esteve com nariz entupido nos últimos 15 dias
h18_ronqueira	h18_ronqueira - A criança está ou esteve com ronqueira ou catarro nos últimos 15 dias
h19_febre	h19_febre - A criança está ou esteve com febre nos últimos 15 dias
h21_internado	h21_internado - A criança já foi internado(a) alguma vez desde que nasceu
h216_internado_nao	h216_internado_nao
i000b_data_do_dia	i000b_data_do_dia - Data de aplicação do bloco I
i000c_idade_em_meses	i000c_idade_em_meses - Idade da criança em meses, recalculada
i000d_data_ajustada	i000d_data_ajustada - Data de nascimento ajustada
i000e_semanas_gravidez	i000e_semanas_gravidez - Com quantas semanas nasceu
i993_faltou_alguma_refeicao	i993_faltou_alguma_refeicao - Teve alguma refeição que você não conseguiu informar os alimentos e quantidades 
id_anon	id_anon - Código de identificação da criança
id_domic_anon	id_domic_anon - Código de identificação do domicilio
id_resp_anon	id_resp_anon - Código de identificação do responsável
id_upa_anon	id_upa_anon - Código de identificação da unidade primaria de amostragem
idade	idade - idade em anos e meses
idade_anos_comp	idade_anos_comp - idade em anos completos
j03_cor	j03_cor - Cor ou raça da mãe/responsável 
j04_vive	j04_vive - A mãe/responsável vive com companheiro(a) 
j05_religiao	j05_religiao - Religião ou culto da mãe/responsável 
j0501_rel_catolica	j0501_rel_catolica - Religião ou culto da mãe/ responsável
j0502_rel_evangelica_tradicional	j0502_rel_evangelica_tradicional - Religião ou culto da mãe/ responsável
j0503_rel_evangelica_pentecostal	j0503_rel_evangelica_pentecostal - Religião ou culto da mãe/ responsável
j0508_rel_sem_religiao	j0508_rel_sem_religiao - Religião ou culto da mãe/ responsável
j06_ocupacao	j06_ocupacao - Principal situação de emprego atual da mãe/responsável 
j10_serie	j10_serie - Última série/ano que a mãe/responsável completou
k01_gestacoes	k01_gestacoes - Quantas gestações você teve
k02_filhos_vivos	k02_filhos_vivos - Quantos filhos nasceram vivos? 
k04_prenatal_semanas	k04_prenatal_semanas - Com quantas semanas de gravidez você iniciou o pré-natal da criança
k05_prenatal_consultas	k05_prenatal_consultas - Quantas consultas de pré-natal teve durante a gravidez da criança
k06_peso_engravidar	k06_peso_engravidar - Qual era o seu peso antes de engravidar da criança
k07_peso_final	k07_peso_final - Qual era o seu peso antes do parto (ao final da gestação) da criança
k08_quilos	k08_quilos - Quantos quilos você ganhou na gestação da criança
k12_tempo	k12_tempo - Quanto tempo depois do nascimento a criança foi colocada no peito pela primeira vez para mamar
k13_tempo_medida	k13_tempo_medida - Horas ou dias
k14_ainda	k14_ainda - Você ainda está amamentando a criança
k15_recebeu	k15_recebeu - Durante sua permanência na maternidade a criança recebeu algum outro leite que não fosse o leite de peito
k16_liquido	k16_liquido - Nos primeiros dias após o parto, e antes que o seu leite estivesse descendo, foi dado algum outro líquido para a criança beber que não fosse leite materno
k18_somente	k18_somente - Durante quanto tempo deu somente leite do peito para a criança, sem água, chá, suco ou outros alimentos
k19_somente_medida	k19_somente_medida - Dias ou meses
k22_amamentou	k22_amamentou - Desde que amamenta a criança você amamentou o filho de outra mulher
k24_utilizou	k24_utilizou - Desde que amamenta a criança utilizou
k244_utilizou_bomba	k244_utilizou_bomba 
k245_utilizou_mamadeira	k245_utilizou_mamadeira 
k248_utilizou_nao	k248_utilizou_nao
k25_mamadeira	k25_mamadeira - A criança usa ou já usou mamadeira
k28_aleitamento	k28_aleitamento - Você acessa ou acessou a internet para buscar informações sobre aleitamento materno
k29_alimentacao	k29_alimentacao - Você acessa a internet para buscar informações sobre alimentação infantil
l01_morador_alim_acabassem	l01_morador_alim_acabassem - EBIA_Os moradores tiveram a preocupação de que os alimentos acabassem antes de poderem comprar ou receber mais comida
l02_morador_alim_acabaram	l02_morador_alim_acabaram - EBIA_Os alimentos acabaram antes que os moradores tivessem dinheiro para comprar mais comida
l03_morador_saudavel	l03_morador_saudavel - EBIA_Os moradores ficaram sem dinheiro para ter uma alimentação saudável e variada
l04_morador_insuficiente	l04_morador_insuficiente - EBIA_Os moradores comeram apenas alguns alimentos que ainda tinham porque o dinheiro acabou
l05_adulto_saltou_refeicao	l05_adulto_saltou_refeicao -  EBIA_O respondente ou algum adulto da casa deixou de fazer alguma refeição porque não havia dinheiro para comprar comida
l06_adulto_comeu_menos	l06_adulto_comeu_menos - EBIA_O respondente ou algum adulto da casa, alguma vez, comeu menos do que achou que devia porque não havia dinheiro para comprar comida
l09_menos18_saudavel	l09_menos18_saudavel - EBIA_Algum morador com menos de 18 anos de idade, alguma vez, deixou de ter uma alimentação saudável e variada porque não havia dinheiro para comprar comida
m01_costuma_cozinhar	m01_costuma_cozinhar - Nessa casa se costuma cozinhar
m02_quem_cozinha	m02_quem_cozinha - Quem cozinha em casa na maioria das vezes?
m03_alimentos_basicos	m03_alimentos_basicos - Quando cozinha em casa, você utiliza principalmente alimentos básicos, por exemplo: arroz, feijão, legumes, verduras, carnes, ovos, temperos naturais?
m04_confiante	m04_confiante - Você se sente confiante para preparar refeições utilizando principalmente alimentos básicos, por exemplo: arroz, feijão, legumes, verduras, carnes, ovos?
m05_organiza	m05_organiza - Você se organiza para não faltar alimentos básicos em casa? (LER)
m06_facilidade	m06_facilidade - Você tem facilidade em preparar refeições utilizando os alimentos básicos que vocês têm em casa, por exemplo: arroz, feijão, legumes, verduras, carnes, ovos
m08_adiantar_etapas	 m08_adiantar_etapas - Você costuma adiantar etapas de preparação da refeição, por exemplo: manter verduras/folhas já lavadas na geladeira, deixar carnes picadas ou temperadas na geladeira, deixar o alho descascado e amassado, deixar feijão pronto na geladeira ou no congelador
m09_atividades_divididas	m09_atividades_divididas - As atividades da cozinha, como por exemplo: picar alimentos, cozinhar e lavar louças, são divididas entre os moradores da sua casa ou com outra pessoa
m11_quem_decide	m11_quem_decide - Na sua casa, quem geralmente decide sobre a compra de alimentos
m12_despesas	m12_despesas - Quem geralmente decide sobre as outras despesas importantes da sua casa?
n01_frutas	n01_frutas - Com que frequência esse alimento esteve disponível na casa do respondente nos últimos 30 dias
n02_legumes	n02_legumes - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias 
n03_verduras	n03_verduras - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias 
n04_feijao	n04_feijao - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n05_suco	n05_suco -  Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n06_refrigerantes	n06_refrigerantes - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n07_biscoitos	n07_biscoitos - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n08_salgadinhos	n08_salgadinhos -  Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n09_balas	n09_balas -  Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n10_guardar_frutas	n10_guardar_frutas  - Frutas, legumes e verduras estavam em lugares onde poderiam ser vistos e facilmente alcançados.
n11_pegar_refrigerante	n11_pegar_refrigerante  - “Nome da criança” pode pegar refrigerante sem a ajuda ou permissão de um adulto.
n12_comer_biscoitos	n12_comer_biscoitos  - “Nome da criança” pode comer biscoitos ou salgadinhos sem a ajuda ou permissão de um adulto
n13_comer_bala	n13_comer_bala  - “Nome da criança” pode comer bala, pirulito ou outras guloseimas sem a ajuda ou permissão de um adulto
n14_comer_comida	n14_comer_comida  - “Nome da criança” deve sempre comer toda a comida que está no seu prato.
n15_come_suficiente	n15_come_suficiente - Você precisa ser muito cuidadosa(o) para ter certeza que “nome da criança” come o suficiente.
n16_forcar_comer	"n16_forcar_comer - Se “nome da criança” diz ""não estou com fome"", você tenta fazer com que ele/ela coma de qualquer maneira."
n17_comer_menos	n17_comer_menos - Se você não orientasse ou controlasse a alimentação de “nome da criança”, ele (a) comeria muito menos do que deveria.
o01_frutas_comprar	o01_frutas_comprar - É fácil comprar frutas, legumes e verduras no seu bairro
o02_frutas_qualidade	o02_frutas_qualidade - As frutas, legumes e verduras são de boa qualidade no seu bairro
o03_frutas_variedade	 o03_frutas_variedade - Existe uma grande variedade de frutas, legumes e verduras no seu bairro.
o04_frutas_baratas	o04_frutas_baratas - Frutas, legumes e verduras são baratos no seu bairro.
o05_refrigerantes_comprar	o05_refrigerantes_comprar - É fácil comprar refrigerantes; biscoitos; salgadinhos de pacote; balas e outras guloseimas no seu bairro
o06_refrigerantes_variedade	o06_refrigerantes_variedade - Existe uma grande variedade de refrigerantes; biscoitos; salgadinhos de pacote; balas e outras guloseimas no seu bairro
o07_refrigerantes_baratos	o07_refrigerantes_baratos - Refrigerantes; biscoitos; salgadinhos de pacote; balas e outras guloseimas são baratos no seu bairro
p01_respondente	p01_respondente - identificação do respondente do bloco
p03_ocupacao	p03_ocupacao - Tipo de ocupação do domicílio 
p05_comodos	p05_comodos - Quantos cômodos existem no domicílio 
p07_dormitorios	p07_dormitorios - Quantos cômodos servem como dormitório para os moradores
p08_banheiros_exclusivo	p08_banheiros_exclusivo - Quantos banheiros de uso exclusivo dos moradores existem no domicílio  
p09_banheiros_chuveiro	p09_banheiros_chuveiro - Quantos banheiros com chuveiro (ou banheira) e vaso sanitário (ou privada)?
p10_esgoto	p10_esgoto - O esgoto do(s) banheiro(s) ou sanitário(s) é lançado (jogado) em: (LER)
peso_crianca	peso_crianca - Peso básico da criança ou mãe ou domicílio não calibrado
peso_crianca_calib	peso_crianca_calib - Peso básico da criança ou mãe ou domicílio calibrado
peso_crianca_setor	peso_crianca_setor - Peso básico das crianças do banco no setor
peso_crianca_y_10	peso_crianca - Peso básico das crianças do banco 10 de sangue 
peso_crianca_y_11	peso_crianca - Peso básico das crianças do banco 11 de sangue 
peso_crianca_y_12	peso_crianca - Peso básico das crianças do banco 12 de sangue 
peso_crianca_y_13	peso_crianca - Peso básico das crianças do banco 13 de sangue 
peso_crianca_y_14	peso_crianca - Peso básico das crianças do banco 14 de sangue 
peso_crianca_y_15	peso_crianca - Peso básico das crianças do banco 15 de sangue 
peso_crianca_y_16	peso_crianca - Peso básico das crianças do banco 16 de sangue 
peso_crianca_y_17	peso_crianca - Peso básico das crianças do banco 17 de sangue 
peso_crianca_y_18	peso_crianca - Peso básico das crianças do banco 18 de sangue 
peso_crianca_y_19	peso_crianca - Peso básico das crianças do banco 19 de sangue 
peso_crianca_y_1a	peso_crianca - Peso básico das crianças do banco 1a de sangue 
peso_crianca_y_1b	peso_crianca - Peso básico das crianças do banco 1b de sangue 
peso_crianca_y_1c	peso_crianca - Peso básico das crianças do banco 1c de sangue 
peso_crianca_y_2	peso_crianca - Peso básico das crianças do banco 2 de sangue 
peso_crianca_y_20	peso_crianca - Peso básico das crianças do banco 20 de sangue 
peso_crianca_y_21	peso_crianca - Peso básico das crianças do banco 21 de sangue 
peso_crianca_y_22	peso_crianca - Peso básico das crianças do banco 22 de sangue 
peso_crianca_y_3	peso_crianca - Peso básico das crianças do banco 3 de sangue 
peso_crianca_y_4	peso_crianca - Peso básico das crianças do banco 4 de sangue 
peso_crianca_y_5	peso_crianca - Peso básico das crianças do banco 5 de sangue 
peso_crianca_y_6	peso_crianca - Peso básico das crianças do banco 6 de sangue 
peso_crianca_y_7	peso_crianca - Peso básico das crianças do banco 7 de sangue 
peso_crianca_y_8	peso_crianca - Peso básico das crianças do banco 8 de sangue 
peso_crianca_y_9a	peso_crianca - Peso básico das crianças do banco 9a de sangue 
peso_crianca_y_9b	peso_crianca - Peso básico das crianças do banco 9b de sangue 
peso_setor_ajuste1	peso_setor_ajuste1  -  Peso básico, ajustado para não resposta, do setor em que o domicílio foi selecionado / entrevistado
posestrato	Contagem de subgrupos para pós estratificação
q01_recebe_beneficio	q01_recebe_beneficio - Alguém do domicilio recebe benefício(s) do governo 
q06_renda	q06_renda - Renda mensal do domicílio 
q07_renda_faixa	q07_renda_faixa - Valor da renda do domicílio em faixas de renda
r01_televisao	r01_televisao - Quantos aparelhos de televisão têm neste domicílio
r02_automoveis	r02_automoveis - Quantos automóveis tem neste domicílio
r03_radio	r03_radio - Você(s) têm rádio no domicílio
r05_vcr	r05_vcr - Você(s) têm leitor de mídias (VCR, DVD, BlueRay, ChromeCast/Apple TV) no domicílio
r06_lavadora	r06_lavadora - Você(s) têm máquina de lavar roupa no domicílio
r07_micro_ondas	r07_micro_ondas  - Você(s) têm forno de micro-ondas no domicílio
r08_telefone_fixo	r08_telefone_fixo - Você(s) têm telefone fixo (convencional) no domicílio
r09_microcomputador	r09_microcomputador - Você(s) têm microcomputador/tablet/notebook no domicílio
r10_ar_condicionado	r10_ar_condicionado - Você(s) têm aparelho de ar condicionado no domicílio?
r11_tv_a_cabo	r11_tv_a_cabo - Você(s) têm TV a cabo ou TV por assinatura no domicílio
r12_internet_domicilio	r12_internet_domicilio - Você(s) têm acesso à internet no domicílio (inclusive rede sem fio)
r13_internet_celular	r13_internet_celular - Você(s) têm acesso à internet no celular
r14_celular	r14_celular - Qual o tipo de plano do seu celular?
s00c_data_peso	s00c_data_peso - Data de realização da medida do peso
s00d_idade_peso	s00d_idade_peso - Idade em dias da criança no dia da medida 1 do peso
s00e_data_altura	s00e_data_altura - Data de realização da medida da altura
s00f_idade_altura	s00f_idade_altura - Idade em dias da criança no dia da medida da altura
s02_peso_medida1	s02_peso_medida1  - Medida 1 do peso da criança (kg)
s03_peso_medida2	s03_peso_medida2  - Medida 2 do peso da criança (kg)
s04_peso_padrao	s04_peso_padrao - O peso da criança foi medido de forma padronizada
s07_altura_medida1	s07_altura_medida1 - Medida 1 da altura/comprimento da criança (cm)
s08_altura_medida2	s08_altura_medida2 - Medida 2 da altura/comprimento da criança(cm)
setor_anon	setor_anon - Setor censitário
t02_peso_medida1	t02_peso_medida1 - Medida 1 de peso da mãe (kg)
t03_peso_medida2	t03_peso_medida2 - Medida 2 de peso da mãe (kg)
t05_altura_medida1	t05_altura_medida1 - Medida 1 da altura/comprimento da mãe (cm)
t06_altura_medida2	t06_altura_medida2 - Medida 2 da altura/comprimento da mãe (cm)
total_12p	total_12p - Total de parâmetros entre os 12 prioritários 
u02_coleta_realizada	u02_coleta_realizada - A coleta de sangue da criança foi realizada?
u03_puncao	"u03_puncao - Foi necessária mais de uma punção venosa em ""nome da criança""?"
u04a_coleta_hora	u04a_coleta_hora - Hora da coleta do sangue de “nome da criança”. questão aberta com 2 algarismos
u04b_coleta_minuto	u04b_coleta_minuto - Minuto da coleta do sangue de “nome da criança”. questão aberta com 2 algarismos
u05_braco	"u05_braco - Em qual braço de “nome da criança"" o sangue foi coletado?"
u07_volume	u07_volume - Volume de sangue coletado (mL) 
u07a_volume_trace	u07a_volume_trace - Volume de sangue coletado (mL) no tubo Trace
u09a_refeicao_hora	u09a_refeicao_hora  - Em que horário “nome da criança” realizou a última refeição (ou a última mamada)
u09b_refeicao_minuto	u09b_refeicao_minuto - Minutos em que “nome da criança” realizou a última refeição (ou a última mamada)? 
vd_anthro_zwfl	vd_anthro_zwfl - Escore z do índice peso/altura da criança
vd_ebia_categ	vd_ebia_categ - Classificação da Escala Brasileira de Insegurança Alimentar no domicílio 
vd_ebia_escore	vd_ebia_escore - Escore da Escala Brasileira de Insegurança Alimentar no domicílio 
vd_ien_decimos	ien_decimos - Escore do Indicador Econômico Nacional (IEN)
vd_ien_escore	ien_escore - Escore do Indicador Econômico Nacional (IEN)
vd_ien_quartos	ien_quartos - Escore do Indicador Econômico Nacional (IEN)
vd_ien_quintos	ien_quintos - Escore do Indicador Econômico Nacional (IEN)
vd_ien_tercos	ien_tercos - Escore do Indicador Econômico Nacional (IEN)
vd_imc_mae	vd_imc_mae - IMC da mãe adulta (Kg/m)
vd_num_supl	Quantidade de tipos de suplementos usados nos últimos 6 meses
vd_supl1_bc_cipro	Uso de qualquer suplemento de micronutrientes que contenha apenas Vit B e Vit C associada à ciproeptadina nos últimos 6 meses
vd_supl1_com_calcio	Uso de qualquer suplemento de micronutrientes que contenha calcio nos últimos 6 meses
vd_supl1_com_cipro	Uso de qualquer suplemento de micronutrientes que contenha ciproeptadina nos últimos 6 meses
vd_supl1_com_cobre	Uso de qualquer suplemento de micronutrientes que contenha cobre nos últimos 6 meses
vd_supl1_com_cromo	Uso de qualquer suplemento de micronutrientes que contenha cromo nos últimos 6 meses
vd_supl1_com_ferro	Uso de qualquer suplemento de micronutrientes que contenha ferro nos últimos 6 meses
vd_supl1_com_ferro_indep_nutrisus	Uso de qualquer suplemento de micronutrientes que contenha ferro independente do uso de NUTRISUS nos últimos 6 meses
vd_supl1_com_fosforo	Uso de qualquer suplemento de micronutrientes que contenha fosforo nos últimos 6 meses
vd_supl1_com_iodo	Uso de qualquer suplemento de micronutrientes que contenha iodo nos últimos 6 meses
vd_supl1_com_magnesio	Uso de qualquer suplemento de micronutrientes que contenha magnésio nos últimos 6 meses
vd_supl1_com_manganes	Uso de qualquer suplemento de micronutrientes que contenha manganês nos últimos 6 meses
vd_supl1_com_molibdenio	Uso de qualquer suplemento de micronutrientes que contenha molibdenio nos últimos 6 meses
vd_supl1_com_selenio	Uso de qualquer suplemento de micronutrientes que contenha selênio  nos últimos 6 meses
vd_supl1_com_vita	Uso de qualquer suplemento de micronutrientes que contenha Vit A nos últimos 6 meses
vd_supl1_com_vitb1	Uso de qualquer suplemento de micronutrientes que contenha Vit B1 nos últimos 6 meses
vd_supl1_com_vitb12	Uso de qualquer suplemento de micronutrientes que contenha Vit B12 nos últimos 6 meses
vd_supl1_com_vitb2	Uso de qualquer suplemento de micronutrientes que contenha Vit B2 nos últimos 6 meses
vd_supl1_com_vitb3	Uso de qualquer suplemento de micronutrientes que contenha Vit B3 nos últimos 6 meses
vd_supl1_com_vitb5	Uso de qualquer suplemento de micronutrientes que contenha Vit B5 nos últimos 6 meses
vd_supl1_com_vitb6	Uso de qualquer suplemento de micronutrientes que contenha Vit B6 nos últimos 6 meses
vd_supl1_com_vitb7	Uso de qualquer suplemento de micronutrientes que contenha Vit B7 nos últimos 6 meses
vd_supl1_com_vitb8	Uso de qualquer suplemento de micronutrientes que contenha Vit B8 nos últimos 6 meses
vd_supl1_com_vitb9	Uso de qualquer suplemento de micronutrientes que contenha Vit B9 nos últimos 6 meses
vd_supl1_com_vitc	Uso de qualquer suplemento de micronutrientes que contenha Vit C nos últimos 6 meses
vd_supl1_com_vitd	Uso de qualquer suplemento de micronutrientes que contenha Vit D nos últimos 6 meses
vd_supl1_com_vite	Uso de qualquer suplemento de micronutrientes que contenha Vit E nos últimos 6 meses
vd_supl1_com_vitk	Uso de qualquer suplemento de micronutrientes que contenha Vit K nos últimos 6 meses
vd_supl1_com_zinco	Uso de qualquer suplemento de micronutrientes que contenha zinco nos últimos 6 meses
vd_supl1_exclusivamente_ferro	Uso de apenas um suplemento de micronutrientes que contenha somente ferro nos últimos 6 meses
vd_supl1_exclusivamente_vita	Uso de apenas um suplemento de micronutrientes que contenha somente Vit A nos últimos 6 meses
