variavel	descricao
l03_morador_saudavel	l03_morador_saudavel - EBIA_Os moradores ficaram sem dinheiro para ter uma alimentação saudável e variada
l04_morador_insuficiente	l04_morador_insuficiente - EBIA_Os moradores comeram apenas alguns alimentos que ainda tinham porque o dinheiro acabou
l05_adulto_saltou_refeicao	l05_adulto_saltou_refeicao -  EBIA_O respondente ou algum adulto da casa deixou de fazer alguma refeição porque não havia dinheiro para comprar comida
l06_adulto_comeu_menos	l06_adulto_comeu_menos - EBIA_O respondente ou algum adulto da casa, alguma vez, comeu menos do que achou que devia porque não havia dinheiro para comprar comida
l09_menos18_saudavel	l09_menos18_saudavel - EBIA_Algum morador com menos de 18 anos de idade, alguma vez, deixou de ter uma alimentação saudável e variada porque não havia dinheiro para comprar comida
m01_costuma_cozinhar	m01_costuma_cozinhar - Nessa casa se costuma cozinhar
m02_quem_cozinha	m02_quem_cozinha - Quem cozinha em casa na maioria das vezes?
m03_alimentos_basicos	m03_alimentos_basicos - Quando cozinha em casa, você utiliza principalmente alimentos básicos, por exemplo: arroz, feijão, legumes, verduras, carnes, ovos, temperos naturais?
m04_confiante	m04_confiante - Você se sente confiante para preparar refeições utilizando principalmente alimentos básicos, por exemplo: arroz, feijão, legumes, verduras, carnes, ovos?
m05_organiza	m05_organiza - Você se organiza para não faltar alimentos básicos em casa? (LER)
m06_facilidade	m06_facilidade - Você tem facilidade em preparar refeições utilizando os alimentos básicos que vocês têm em casa, por exemplo: arroz, feijão, legumes, verduras, carnes, ovos
m08_adiantar_etapas	 m08_adiantar_etapas - Você costuma adiantar etapas de preparação da refeição, por exemplo: manter verduras/folhas já lavadas na geladeira, deixar carnes picadas ou temperadas na geladeira, deixar o alho descascado e amassado, deixar feijão pronto na geladeira ou no congelador
m09_atividades_divididas	m09_atividades_divididas - As atividades da cozinha, como por exemplo: picar alimentos, cozinhar e lavar louças, são divididas entre os moradores da sua casa ou com outra pessoa
m11_quem_decide	m11_quem_decide - Na sua casa, quem geralmente decide sobre a compra de alimentos
m12_despesas	m12_despesas - Quem geralmente decide sobre as outras despesas importantes da sua casa?
n01_frutas	n01_frutas - Com que frequência esse alimento esteve disponível na casa do respondente nos últimos 30 dias
n02_legumes	n02_legumes - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias 
n03_verduras	n03_verduras - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias 
n04_feijao	n04_feijao - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n05_suco	n05_suco -  Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n06_refrigerantes	n06_refrigerantes - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n07_biscoitos	n07_biscoitos - Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n08_salgadinhos	n08_salgadinhos -  Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n09_balas	n09_balas -  Com que frequência esse alimento estive disponível na casa do respondente nos últimos 30 dias
n10_guardar_frutas	n10_guardar_frutas  - Frutas, legumes e verduras estavam em lugares onde poderiam ser vistos e facilmente alcançados.
n11_pegar_refrigerante	n11_pegar_refrigerante  - “Nome da criança” pode pegar refrigerante sem a ajuda ou permissão de um adulto.
n12_comer_biscoitos	n12_comer_biscoitos  - “Nome da criança” pode comer biscoitos ou salgadinhos sem a ajuda ou permissão de um adulto
n13_comer_bala	n13_comer_bala  - “Nome da criança” pode comer bala, pirulito ou outras guloseimas sem a ajuda ou permissão de um adulto
n14_comer_comida	n14_comer_comida  - “Nome da criança” deve sempre comer toda a comida que está no seu prato.
n15_come_suficiente	n15_come_suficiente - Você precisa ser muito cuidadosa(o) para ter certeza que “nome da criança” come o suficiente.
n16_forcar_comer	"n16_forcar_comer - Se “nome da criança” diz ""não estou com fome"", você tenta fazer com que ele/ela coma de qualquer maneira."
n17_comer_menos	n17_comer_menos - Se você não orientasse ou controlasse a alimentação de “nome da criança”, ele (a) comeria muito menos do que deveria.
o01_frutas_comprar	o01_frutas_comprar - É fácil comprar frutas, legumes e verduras no seu bairro
o02_frutas_qualidade	o02_frutas_qualidade - As frutas, legumes e verduras são de boa qualidade no seu bairro
o03_frutas_variedade	 o03_frutas_variedade - Existe uma grande variedade de frutas, legumes e verduras no seu bairro.
o04_frutas_baratas	o04_frutas_baratas - Frutas, legumes e verduras são baratos no seu bairro.
o05_refrigerantes_comprar	o05_refrigerantes_comprar - É fácil comprar refrigerantes; biscoitos; salgadinhos de pacote; balas e outras guloseimas no seu bairro
o06_refrigerantes_variedade	o06_refrigerantes_variedade - Existe uma grande variedade de refrigerantes; biscoitos; salgadinhos de pacote; balas e outras guloseimas no seu bairro
o07_refrigerantes_baratos	o07_refrigerantes_baratos - Refrigerantes; biscoitos; salgadinhos de pacote; balas e outras guloseimas são baratos no seu bairro
p01_respondente	p01_respondente - identificação do respondente do bloco
p03_ocupacao	p03_ocupacao - Tipo de ocupação do domicílio 
p05_comodos	p05_comodos - Quantos cômodos existem no domicílio 
p07_dormitorios	p07_dormitorios - Quantos cômodos servem como dormitório para os moradores
p08_banheiros_exclusivo	p08_banheiros_exclusivo - Quantos banheiros de uso exclusivo dos moradores existem no domicílio  
p09_banheiros_chuveiro	p09_banheiros_chuveiro - Quantos banheiros com chuveiro (ou banheira) e vaso sanitário (ou privada)?
p10_esgoto	p10_esgoto - O esgoto do(s) banheiro(s) ou sanitário(s) é lançado (jogado) em: (LER)
peso_crianca	peso_crianca - Peso básico da criança ou mãe ou domicílio não calibrado
peso_crianca_calib	peso_crianca_calib - Peso básico da criança ou mãe ou domicílio calibrado
peso_crianca_setor	peso_crianca_setor - Peso básico das crianças do banco no setor
peso_crianca_y_10	peso_crianca - Peso básico das crianças do banco 10 de sangue 
peso_crianca_y_11	peso_crianca - Peso básico das crianças do banco 11 de sangue 
peso_crianca_y_12	peso_crianca - Peso básico das crianças do banco 12 de sangue 
peso_crianca_y_13	peso_crianca - Peso básico das crianças do banco 13 de sangue 
peso_crianca_y_14	peso_crianca - Peso básico das crianças do banco 14 de sangue 
peso_crianca_y_15	peso_crianca - Peso básico das crianças do banco 15 de sangue 
peso_crianca_y_16	peso_crianca - Peso básico das crianças do banco 16 de sangue 
peso_crianca_y_17	peso_crianca - Peso básico das crianças do banco 17 de sangue 
peso_crianca_y_18	peso_crianca - Peso básico das crianças do banco 18 de sangue 
peso_crianca_y_19	peso_crianca - Peso básico das crianças do banco 19 de sangue 
peso_crianca_y_1a	peso_crianca - Peso básico das crianças do banco 1a de sangue 
peso_crianca_y_1b	peso_crianca - Peso básico das crianças do banco 1b de sangue 
peso_crianca_y_1c	peso_crianca - Peso básico das crianças do banco 1c de sangue 
peso_crianca_y_2	peso_crianca - Peso básico das crianças do banco 2 de sangue 
peso_crianca_y_20	peso_crianca - Peso básico das crianças do banco 20 de sangue 
peso_crianca_y_21	peso_crianca - Peso básico das crianças do banco 21 de sangue 
peso_crianca_y_22	peso_crianca - Peso básico das crianças do banco 22 de sangue 
peso_crianca_y_3	peso_crianca - Peso básico das crianças do banco 3 de sangue 
