variavel	descricao
vd_supl1_com_molibdenio	Uso de qualquer suplemento de micronutrientes que contenha molibdenio nos últimos 6 meses
vd_supl1_com_selenio	Uso de qualquer suplemento de micronutrientes que contenha selênio  nos últimos 6 meses
vd_supl1_com_vita	Uso de qualquer suplemento de micronutrientes que contenha Vit A nos últimos 6 meses
vd_supl1_com_vitb1	Uso de qualquer suplemento de micronutrientes que contenha Vit B1 nos últimos 6 meses
vd_supl1_com_vitb12	Uso de qualquer suplemento de micronutrientes que contenha Vit B12 nos últimos 6 meses
vd_supl1_com_vitb2	Uso de qualquer suplemento de micronutrientes que contenha Vit B2 nos últimos 6 meses
vd_supl1_com_vitb3	Uso de qualquer suplemento de micronutrientes que contenha Vit B3 nos últimos 6 meses
vd_supl1_com_vitb5	Uso de qualquer suplemento de micronutrientes que contenha Vit B5 nos últimos 6 meses
vd_supl1_com_vitb6	Uso de qualquer suplemento de micronutrientes que contenha Vit B6 nos últimos 6 meses
vd_supl1_com_vitb7	Uso de qualquer suplemento de micronutrientes que contenha Vit B7 nos últimos 6 meses
vd_supl1_com_vitb8	Uso de qualquer suplemento de micronutrientes que contenha Vit B8 nos últimos 6 meses
vd_supl1_com_vitb9	Uso de qualquer suplemento de micronutrientes que contenha Vit B9 nos últimos 6 meses
vd_supl1_com_vitc	Uso de qualquer suplemento de micronutrientes que contenha Vit C nos últimos 6 meses
vd_supl1_com_vitd	Uso de qualquer suplemento de micronutrientes que contenha Vit D nos últimos 6 meses
vd_supl1_com_zinco	Uso de qualquer suplemento de micronutrientes que contenha zinco nos últimos 6 meses
vd_supl1_exclusivamente_ferro	Uso de apenas um suplemento de micronutrientes que contenha somente ferro nos últimos 6 meses
vd_supl1_exclusivamente_vita	Uso de apenas um suplemento de micronutrientes que contenha somente Vit A nos últimos 6 meses
vd_supl1_exclusivamente_vitc	Uso de apenas um suplemento de micronutrientes que contenha somente Vit C nos últimos 6 meses
vd_supl1_ferro_nao_sus	Uso de qualquer suplemento de micronutrientes que contenha ferro não adquirido no Serviço público de saúde  nos últimos 6 meses
vd_supl1_ferro_sus	Uso de qualquer suplemento de micronutrientes que contenha ferro adquirido no Serviço público de saúde  nos últimos 6 meses
vd_supl1_somente_ferro	Uso de qualquer suplemento de micronutrientes que contenha somente ferro nos últimos 6 meses
vd_supl1_somente_vita	Uso de qualquer suplemento de micronutrientes que contenha somente Vit A nos últimos 6 meses
vd_supl1_somente_vitc	Uso de qualquer suplemento de micronutrientes que contenha somente Vit C nos últimos 6 meses
vd_supl1_somente_zinco	Uso de qualquer suplemento de micronutrientes que contenha somente zinco nos últimos 6 meses
vd_supl1_vita_indep_mega_nutrisus	Uso de qualquer suplemento de micronutrientes que contenha ferro independente do uso de megadose de Vit A e NUTRISUS nos últimos 6 meses
vd_supl1_vita_nao_sus	Uso de qualquer suplemento de micronutrientes que contenha Vit A não adquirido no Serviço público de saúde  nos últimos 6 meses
vd_supl1_vita_sus	Uso de qualquer suplemento de micronutrientes que contenha Vit A adquirido no Serviço público de saúde  nos últimos 6 meses
vd_suplemento	Uso de suplementos de micronutrientes atual ou nos últimos 6 meses
vd_suplemento_comercial	Uso de suplementos de micronutrientes atual ou nos últimos 6 meses não adquirido no Serviço público de saúde 
vd_suplemento_sus	Uso de suplementos de micronutrientes atual ou nos últimos 6 meses adquirido no Serviço público de saúde 
w01_motivo	w01_motivo - Motivo da interrupção da entrevista 
x06_total_pessoas	x06_total_pessoas - Total de moradores no domicílio
x07_total_criancas	x07_total_criancas - Total de crianças moradoras no domicílio
