variavel	descricao
e40_adocado	e40_adocado  - A criança comeu alimento adoçado com açúcar, mel ou melado ontem
estrato_sel_anon	estrato_sel_anon - estrato
f001_esta_usando	f001_esta_usando - A criança ESTÁ USANDO algum tipo de vitamina ou mineral 
g001_usou	g001_usou - A criança usou nos últimos 6 meses algum tipo de vitamina ou mineral 
g150_vitaminas	g150_vitaminas - A criança recebeu, nos últimos 6 meses, no posto de saúde ou no dia da vacinação, uma dose de alguma dessas vitaminas?
grupo10	grupo 10 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, ácido fólico, vitamina B12, ferritina e Proteína C Reativa, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo11	grupo 11 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, ácido fólico, vitamina B12, ferritina e Proteína C Reativa, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta., exceto a hemoglobina, com intervalo entre coleta e recoleta de até 30 dias. 
grupo12	grupo 12 - Conjunto de crianças que possuem o parâmetro final hemograma
grupo13	grupo 13 - Conjunto de crianças que possuem o parâmetro final ácido fólico
grupo14	grupo 14 - Conjunto de crianças que possuem o parâmetro final ferritina
grupo15	grupo 15 - Conjunto de crianças que possuem o parâmetro final vitamina B12
grupo16	grupo 16 - Conjunto de crianças que possuem o parâmetro final vitamina D
grupo17	grupo 17 - Conjunto de crianças que possuem o parâmetro final vitamina A
grupo18	grupo 18 - Conjunto de crianças que possuem o parâmetro final vitamina B1
grupo19	grupo 19 - Conjunto de crianças que possuem o parâmetro final vitamina B6
grupo1a	grupo1a - Conjunto de crianças que possuem os parâmetros finais:  hemoglobina, ferritina e PCR, avaliados no mesmo momento, na coleta ou na recoleta
grupo1b	grupo1b - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, proteína C Reativa (PCR) e ferritina, sendo obrigatoriamente a ferritina e PCR avaliadas no mesmo momento, assim como a ferritina e hemoglobina
grupo1c	grupo 1c - Conjunto de crianças que possuem os parâmetros finais: proteína C Reativa (PCR) e ferritina, sendo obrigatoriamente a ferritina e PCR avaliadas no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo2	grupo 2 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina e vitamina A, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo20	grupo 20 - Conjunto de crianças que possuem o parâmetro final vitamina E
grupo21	grupo 21 - Conjunto de crianças que possuem o parâmetro final zinco
grupo22	grupo 22 - Conjunto de crianças que possuem o parâmetro final selênio
grupo3	grupo 3 - Conjunto de crianças que possuem os parâmetros finais: hemoglobina, vitamina A,  vitamina D e zinco, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo4	grupo 4 - Conjunto de crianças que possuem os parâmetros finais: proteína C Reativa (PCR) e zinco, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo5	grupo 5 - Conjunto de crianças que possuem os parâmetros finais proteína C Reativa (PCR) e vitamina A, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo6	grupo 6 - Conjunto de crianças que possuem os parâmetros finais proteína C Reativa (PCR) e selênio, sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.
grupo7	grupo 7 - Conjunto de crianças que possuem os parâmetros finais ácido fólico e vitamina B12 sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo8	grupo 8 - Conjunto de crianças que possuem os parâmetros finais proteína C reativa (PCR), zinco, selênio, vitamina A e vitamina E sendo obrigatoriamente avaliados no mesmo momento, ou seja, na coleta ou na recoleta. 
grupo9a	grupo 9a - Conjunto de crianças que possuem os 12 parâmetros finais: hemograma, ácido fólico, ferritina, vitamina B12, vitamina D, vitamina A, B1, B6, E, zinco e selênio, sendo obrigatoriamente todos realizados no mesmo momento, ou seja, na coleta ou na recoleta.  
grupo9b	grupo 9b - Conjunto de crianças que possuem os 12 parâmetros finais: hemograma, ácido fólico, ferritina, vitamina B12, vitamina D, vitamina A, B1, B6, E, zinco e selênio.
h01_semanas_gravidez	h01_semanas_gravidez - Com quantas semanas de gravidez a criança nasceu
h02_peso	h02_peso - Peso ao nascer (em gramas) da criança
h03_altura	h03_altura - Com quantos centímetros a criança nasceu
h04_parto	h04_parto - Tipo de parto da criança
h05_chupeta_usou	h05_chupeta_usou - Desde o nascimento da criança até hoje, ele(ela)
h10_consulta	h10_consulta - Onde costuma levar a criança para consulta médica com mais frequência
h13_diarreia	h13_diarreia  - A criança está ou esteve com diarreia nos últimos 15 dias
h14_tosse	h14_tosse - A criança está ou esteve com tosse nos últimos 15 dias
h15_respiracao	h15_respiracao - A criança está ou esteve com respiração difícil nos últimos 15 dias
h16_canseira	h16_canseira - A criança está ou esteve com canseira, falta de ar nos últimos 15 dias
h17_nariz	h17_nariz - A criança está ou esteve com nariz entupido nos últimos 15 dias
h18_ronqueira	h18_ronqueira - A criança está ou esteve com ronqueira ou catarro nos últimos 15 dias
h19_febre	h19_febre - A criança está ou esteve com febre nos últimos 15 dias
h21_internado	h21_internado - A criança já foi internado(a) alguma vez desde que nasceu
h216_internado_nao	h216_internado_nao
i000b_data_do_dia	i000b_data_do_dia - Data de aplicação do bloco I
i000c_idade_em_meses	i000c_idade_em_meses - Idade da criança em meses, recalculada
i000d_data_ajustada	i000d_data_ajustada - Data de nascimento ajustada
i000e_semanas_gravidez	i000e_semanas_gravidez - Com quantas semanas nasceu
i993_faltou_alguma_refeicao	i993_faltou_alguma_refeicao - Teve alguma refeição que você não conseguiu informar os alimentos e quantidades 
id_domic_anon	id_domic_anon - Código de identificação do domicilio
id_resp_anon	id_resp_anon - Código de identificação do responsável
idade	idade - idade em anos e meses
idade_anos_comp	idade_anos_comp - idade em anos completos
